Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: Accord>, 'vin': ''}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: Accord>, 'vin': ''}
Form data: {'year': '2012', 'make': <Make: Honda>, 'carModel': <CarModel: Accord>, 'vin': ''}
Form data: {'year': '2013', 'make': <Make: Honda>, 'carModel': <CarModel: Accord>, 'vin': ''}
Form data: {'year': '2013', 'make': <Make: Honda>, 'carModel': <CarModel: Accord>, 'vin': ''}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': <Make: Honda>, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '', 'make': None, 'carModel': None, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Honda>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
Form data: {'year': '2006', 'make': <Make: Lexus>, 'carModel': <CarModel: GX 460>, 'vin': 'JTJBT20X460101850'}
